City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
370,Asuncion Nochixtlan,MX,79.07,clear sky,17.4667,-97.2333,Hotel Kristal
372,Shkoder,AL,75.38,overcast clouds,42.0683,19.5126,Hotel Tradita
374,Pemba,MZ,78.85,scattered clouds,-12.974,40.5178,Guesthouse Samotina
375,Doiwala,IN,83.41,clear sky,30.1833,78.1167,Deluxe Room Spacious and Stylish
378,Tamandare,BR,82.15,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
379,Tutoia,BR,83.26,overcast clouds,-2.7619,-42.2744,Pousada Guará's
381,Paciran,ID,81.23,light rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
383,Nosy Varika,MG,75.63,light rain,-20.5833,48.5333,Hotel Volazara
384,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
385,Kavieng,PG,83.62,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
393,Idenao,CM,82.78,light rain,4.2475,9.0047,Moland Beach Resort
398,San Policarpo,PH,81.95,broken clouds,12.1791,125.5072,Agapita M. Nicart
406,Zhanakorgan,KZ,85.05,broken clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
